read,write,open,close,task_stime
0,0,0,0,68204000000
0,0,0,0,68204000000
1,1,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,196000000
0,0,0,0,42212000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,24356000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,23408000000
0,0,0,0,68204000000
0,0,0,0,23136000000
0,0,0,0,68204000000
0,0,0,0,478552000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,85608000000
0,0,0,0,68204000000
0,0,0,0,68204000000
0,0,0,0,68204000000
start=1607620117
