read,write,open,close,task_stime
0,0,0,0,68188000000
0,0,0,0,68188000000
0,0,0,0,50180000000
0,0,0,0,68188000000
0,0,0,0,71660000000
0,0,0,0,68188000000
0,0,0,0,68196000000
0,0,0,0,71684000000
0,0,0,0,68196000000
0,0,0,0,68196000000
0,0,0,0,68196000000
0,0,0,0,68196000000
0,0,0,0,68196000000
0,0,0,0,68196000000
0,0,0,0,68196000000
0,0,0,0,68196000000
0,0,0,0,68200000000
1,1,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,0
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,0
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
60,0,0,0,4000000
14,0,0,0,28000000
1,0,0,0,8000000
0,0,0,0,52000000
0,0,0,0,52000000
0,0,0,0,44000000
0,0,0,0,80000000
0,1,0,0,88000000
0,14,0,0,92000000
1,61,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,0,0,0,68200000000
0,1993,0,0,32000000
0,87967,0,0,224000000
0,49049,0,0,316000000
0,50986,0,0,408000000
0,48413,0,0,488000000
0,50795,0,0,584000000
0,99253,0,0,772000000
0,47954,0,0,872000000
0,96637,0,0,1064000000
0,93073,0,0,1252000000
0,146250,0,0,1532000000
0,41736,0,0,1632000000
0,187287,0,0,2012000000
0,100102,0,0,2208000000
0,94219,0,0,2404000000
0,48169,0,0,2492000000
0,95961,0,0,2676000000
0,51214,0,0,2772000000
0,99946,0,0,2956000000
0,48948,0,0,3052000000
0,151286,0,0,68200000000
0,48659,0,0,68200000000
0,48425,0,0,68200000000
0,47645,0,0,68200000000
0,50435,0,0,68200000000
0,48713,0,0,68200000000
0,49895,0,0,68200000000
0,47959,0,0,68200000000
0,50134,0,0,68200000000
0,48504,0,0,68200000000
0,49716,0,0,68200000000
0,44500,0,0,68200000000
0,48906,0,0,68200000000
0,48082,0,0,68200000000
0,49019,0,0,68200000000
0,48185,0,0,68200000000
0,49837,0,0,68200000000
0,48348,0,0,68200000000
0,49627,0,0,68200000000
0,48512,0,0,68200000000
0,49747,0,0,68200000000
0,48857,0,0,68200000000
0,46983,0,0,68200000000
0,48858,0,0,68200000000
0,49161,0,0,68200000000
0,49892,0,0,68200000000
0,47785,0,0,68200000000
0,96363,0,0,68200000000
0,49495,0,0,68200000000
0,47299,0,0,68200000000
0,48621,0,0,68200000000
0,38467,0,0,68200000000
0,44554,0,0,68200000000
0,46182,0,0,68200000000
0,48645,0,0,68200000000
0,46780,0,0,68200000000
0,48737,0,0,68200000000
0,46681,0,0,68200000000
0,49003,0,0,68200000000
0,47497,0,0,68200000000
0,47834,0,0,68200000000
